date,open,high,low,close,volume,turn,preclose,pctChg,peTTM,pbMRQ
2020-08-27,8.38608504,8.4022432,8.33761056,8.3618478,30462492,0.1084,8.37800596,-0.1929,5.079071,0.59248
2020-08-28,8.3618478,8.45071768,8.32953148,8.45071768,53131203,0.1891,8.3618478,1.0628,5.133051,0.598776
2020-08-31,8.45071768,8.49111308,8.33761056,8.36992688,80037356,0.2848,8.45071768,-0.956,5.453515,0.605517
2020-09-01,8.32953148,8.36992688,8.28913608,8.31337332,53931233,0.1919,8.36992688,-0.6757,5.416669,0.601425
2020-09-02,8.30529424,8.31337332,8.17602896,8.22450344,56787081,0.2021,8.31337332,-1.069,5.358764,0.594996
2020-09-03,8.23258252,8.26489884,8.16794988,8.17602896,40832020,0.1453,8.22450344,-0.5894,5.32718,0.591489
2020-09-04,8.13563356,8.2002662,8.08715908,8.13563356,38443982,0.131,8.17602896,-0.4941,5.30086,0.588567
2020-09-07,8.13563356,8.20834528,8.08715908,8.08715908,58564585,0.1995,8.13563356,-0.5958,5.269276,0.58506
2020-09-08,8.13563356,8.15179172,8.08715908,8.1194754,52972540,0.1805,8.08715908,0.3996,5.290332,0.587398
2020-09-09,8.08715908,8.14371264,8.07908,8.08715908,49418500,0.1684,8.1194754,-0.398,5.269276,0.58506
2020-09-10,8.12755448,8.12755448,8.03060552,8.04676368,54169916,0.1846,8.08715908,-0.4995,5.242956,0.582138
2020-09-11,8.0386846,8.04676368,7.9578938,8.01444736,49947642,0.1702,8.04676368,-0.4016,5.2219,0.5798
2020-09-14,8.0386846,8.0386846,7.96597288,7.9982892,38851230,0.1324,8.01444736,-0.2016,5.211372,0.578631
2020-09-15,8.00636828,8.01444736,7.9578938,7.96597288,46601549,0.1588,7.9982892,-0.404,5.190316,0.576293
2020-09-16,7.97405196,7.9982892,7.9174984,7.96597288,51470657,0.1754,7.96597288,0.0,5.190316,0.576293
2020-09-17,7.97405196,7.99021012,7.9174984,7.94173564,43171675,0.1471,7.96597288,-0.3043,5.174524,0.57454
2020-09-18,7.94981472,8.03060552,7.9174984,8.03060552,95230581,0.3244,7.94173564,1.119,5.232428,0.580969
2020-09-21,8.03060552,8.05484276,7.94173564,7.94981472,55998716,0.1908,8.03060552,-1.006,5.179788,0.575124
2020-09-22,7.92557748,7.94981472,7.82862852,7.8367076,65952098,0.2247,7.94981472,-1.4228,5.106092,0.566941
2020-09-23,7.84478668,7.85286576,7.77207496,7.78015404,41909587,0.1428,7.8367076,-0.7216,5.069244,0.56285
2020-09-24,7.76399588,7.77207496,7.64280968,7.675126,53858739,0.1835,7.78015404,-1.3499,5.000812,0.555252
2020-09-25,7.675126,7.69936324,7.64280968,7.65088876,29487505,0.1005,7.675126,-0.3158,4.985019,0.553498
